2018-04-20 17:07:08.465  INFO 8092 --- [main] .p.MobileCenterInstrumentatorApplication : Starting MobileCenterInstrumentatorApplication on CABCUKDCQB with PID 8092 (C:\Users\pinzi\Documents\workspace-sts-3.8.4.RELEASE\MobileCenterInstrumentator\target\classes started by pinzi in C:\Users\pinzi\Documents\workspace-sts-3.8.4.RELEASE\MobileCenterInstrumentator)
2018-04-20 17:07:08.475  INFO 8092 --- [main] .p.MobileCenterInstrumentatorApplication : No active profile set, falling back to default profiles: default
2018-04-20 17:07:08.671  INFO 8092 --- [main] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@45b9a632: startup date [Fri Apr 20 17:07:08 CEST 2018]; root of context hierarchy
2018-04-20 17:07:17.863  INFO 8092 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8093 (http)
2018-04-20 17:07:17.959  INFO 8092 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2018-04-20 17:07:17.960  INFO 8092 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet Engine: Apache Tomcat/8.5.29
2018-04-20 17:07:18.063  INFO 8092 --- [localhost-startStop-1] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_121\bin;C:\windows\Sun\Java\bin;C:\windows\system32;C:\windows;C:/Program Files/Java/jre1.8.0_152/bin/server;C:/Program Files/Java/jre1.8.0_152/bin;C:/Program Files/Java/jre1.8.0_152/lib/amd64;C:\ProgramData\Oracle\Java\javapath;C:\windows\system32;C:\windows;C:\windows\System32\Wbem;C:\windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\dotnet\;c:\Program Files (x86)\Microsoft SQL Server\100\Tools\Binn\;c:\Program Files (x86)\Microsoft SQL Server\100\DTS\Binn\;C:\Program Files\Microsoft SQL Server\130\Tools\Binn\;C:\Users\pinzi\AppData\Local\Programs\Python\Python36\Scripts\;C:\Users\pinzi\AppData\Local\Programs\Python\Python36\;C:\Users\pinzi\AppData\Local\Microsoft\WindowsApps;C:\Users\pinzi\Documents\maven\apache-maven-3.3.9\bin;C:\Users\pinzi\AppData\Roaming\npm;C:\Users\pinzi\AppData\Local\atom\bin;C:\adb;C:\Program Files (x86)\HP\Sprinter\bin;C:\Program Files\Java\jdk1.8.0_131\bin;C:\Program Files\nodejs\;C:\Program Files (x86)\HPE\Unified Functional Testing\bin;C:\Users\pinzi\AppData\Local\Android\sdk\platform-tools;C:\Users\pinzi\AppData\Local\Android\sdk\tools;C:\Program Files\Git\cmd;C:\Program Files\Git\mingw64\bin;C:\Program Files\Git\usr\bin;C:\Users\pinzi\AppData\Local\Programs\Python\Python36\Scripts\;C:\Users\pinzi\AppData\Local\Programs\Python\Python36\;C:\Users\pinzi\AppData\Local\Microsoft\WindowsApps;C:\Users\pinzi\Documents\maven\apache-maven-3.3.9\bin;C:\Users\pinzi\AppData\Local\atom\bin;C:\Program Files\Java\jdk1.8.0_131\bin;C:\Users\pinzi\AppData\Roaming\npm;C:\Users\pinzi\Documents\Work\Programs\sts-bundle\sts-3.8.4.RELEASE;;.]
2018-04-20 17:07:18.482  INFO 8092 --- [localhost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2018-04-20 17:07:18.484  INFO 8092 --- [localhost-startStop-1] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 9813 ms
2018-04-20 17:07:21.008  INFO 8092 --- [localhost-startStop-1] o.s.b.w.servlet.ServletRegistrationBean  : Servlet dispatcherServlet mapped to [/]
2018-04-20 17:07:21.025  INFO 8092 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'characterEncodingFilter' to: [/*]
2018-04-20 17:07:21.027  INFO 8092 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-04-20 17:07:21.028  INFO 8092 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'httpPutFormContentFilter' to: [/*]
